Created_at,Location,Retweet_Count,Favorite_Count,Tweet
2/21/2020 7:52,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:52,,9,0,"b'RT @SafaricomPLC: Today, we are awarding our 5th winner of a three-bedroom apartment located in Rituta, Dagoretti in the ongoing Lipa Na M-\xe2\x80\xa6'"
,,,,
2/21/2020 7:51,,0,0,"b'39 year old Edward Opiyo Oluoch, a Mathematics &amp; Geography teacher at Nyamonye Girls Secondary School in Bondo is t\xe2\x80\xa6 https://t.co/lF2SCScoUd'"
,,,,
2/21/2020 7:50,,18,0,b'RT @christi90892176: One reason that makes me find this man interesting is that he is all alone fighting a congregation of powerful men. He\xe2\x80\xa6'
,,,,
2/21/2020 7:50,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:49,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:49,,18,0,b'RT @christi90892176: One reason that makes me find this man interesting is that he is all alone fighting a congregation of powerful men. He\xe2\x80\xa6'
,,,,
2/21/2020 7:49,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:48,,9,0,"b'RT @SafaricomPLC: Today, we are awarding our 5th winner of a three-bedroom apartment located in Rituta, Dagoretti in the ongoing Lipa Na M-\xe2\x80\xa6'"
,,,,
2/21/2020 7:48,,0,1,b'Edward has been teaching at Nyamonye Girls since 2011 where most parents often send him pocket money through Mpesa\xe2\x80\xa6 https://t.co/A0RgErC9Fl'
,,,,
2/21/2020 7:48,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:48,,18,0,b'RT @christi90892176: One reason that makes me find this man interesting is that he is all alone fighting a congregation of powerful men. He\xe2\x80\xa6'
,,,,
2/21/2020 7:47,,0,1,"b'#RutoRebelMovement in the fullness of time, DP Ruto will triumph over his opponents and everyone will turn to\xe2\x80\xa6 https://t.co/1YafSFl4C7'"
,,,,
2/21/2020 7:47,,0,0,"b""Imagine waking up to news that you've won a 3br apartment? #DoMoreWithMPESA https://t.co/CgTseZs2oy https://t.co/NLoVjJAOLA"""
,,,,
2/21/2020 7:47,,18,0,b'RT @christi90892176: One reason that makes me find this man interesting is that he is all alone fighting a congregation of powerful men. He\xe2\x80\xa6'
,,,,
2/21/2020 7:47,,0,0,b'One more to go \xf0\x9f\x98\xad #DoMoreWithMPESA https://t.co/OG1uWYmaGN'
,,,,
2/21/2020 7:47,,0,1,"b'Visit us @NexgeneLimited for Computer maintenance, Servicing &amp; Accessories such as monitors, CPU, Batteries, Charge\xe2\x80\xa6 https://t.co/CK9ynS3A2T'"
,,,,
2/21/2020 7:47,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:47,,18,0,b'RT @christi90892176: One reason that makes me find this man interesting is that he is all alone fighting a congregation of powerful men. He\xe2\x80\xa6'
,,,,
2/21/2020 7:46,,30,0,b'RT @SafaricomPLC: 2 More Apartments to go! Could you be our next lucky winner? How about you continue making your payments using Lipa Na M-\xe2\x80\xa6'
,,,,
2/21/2020 7:46,,18,0,b'RT @christi90892176: One reason that makes me find this man interesting is that he is all alone fighting a congregation of powerful men. He\xe2\x80\xa6'
,,,,
2/21/2020 7:46,,41,0,b'RT @GeorgeOnsase: \xf0\x9f\x87\xb0\xf0\x9f\x87\xaaMORNING GAIN\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\nTurn on my notifications to gain active followers \xf0\x9f\x94\x94\xf0\x9f\x94\x94\xe2\x9c\x94\xef\xb8\x8f\n\n\xf0\x9f\x87\xb0\xf0\x9f\x87\xaaLike and Retweet\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\nFollow all likes\xe2\x9d\xa4\xef\xb8\x8f and ret\xe2\x80\xa6'
,,,,
2/21/2020 7:45,,9,0,"b'RT @SafaricomPLC: Today, we are awarding our 5th winner of a three-bedroom apartment located in Rituta, Dagoretti in the ongoing Lipa Na M-\xe2\x80\xa6'"
,,,,
2/21/2020 7:44,,2,0,"b'RT @SafaricomPLC: Edward Opiyo Oluoch, a Mathematics and Geography teacher at Nyamonye Girls Secondary School in Bondo becomes the fifth wi\xe2\x80\xa6'"
,,,,
2/21/2020 7:44,,0,0,"b'FIFA have released the first world rankings update of 2020, with Belgium remaining the No.1 ranked team ahead of Fr\xe2\x80\xa6 https://t.co/c9mc5USoL6'"
,,,,
2/21/2020 7:43,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:43,,0,1,"b'Iconic #DoMoreWithMPESA kinda Fridays. The 5th Winner of a 3-Bedroom  apartment  set to awarded today at Rituta, Da\xe2\x80\xa6 https://t.co/ZbJsIeASWk'"
,,,,
2/21/2020 7:43,,12,0,"b'RT @SafaricomPLC: Good morning, we are super excited to handover the 5th apartment today to one of our customers. How many points do you ha\xe2\x80\xa6'"
,,,,
2/21/2020 7:42,,0,0,b'DP Ruto is @ the centre of a furious diplomatic row with the DRC who suspect his chopper was used to smuggle up to\xe2\x80\xa6 https://t.co/KYC08TPu9W'
,,,,
2/21/2020 7:42,,41,0,b'RT @GeorgeOnsase: \xf0\x9f\x87\xb0\xf0\x9f\x87\xaaMORNING GAIN\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\nTurn on my notifications to gain active followers \xf0\x9f\x94\x94\xf0\x9f\x94\x94\xe2\x9c\x94\xef\xb8\x8f\n\n\xf0\x9f\x87\xb0\xf0\x9f\x87\xaaLike and Retweet\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\nFollow all likes\xe2\x9d\xa4\xef\xb8\x8f and ret\xe2\x80\xa6'
,,,,
2/21/2020 7:42,,9,0,"b'RT @SafaricomPLC: Today, we are awarding our 5th winner of a three-bedroom apartment located in Rituta, Dagoretti in the ongoing Lipa Na M-\xe2\x80\xa6'"
,,,,
2/21/2020 7:41,,41,0,b'RT @GeorgeOnsase: \xf0\x9f\x87\xb0\xf0\x9f\x87\xaaMORNING GAIN\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\nTurn on my notifications to gain active followers \xf0\x9f\x94\x94\xf0\x9f\x94\x94\xe2\x9c\x94\xef\xb8\x8f\n\n\xf0\x9f\x87\xb0\xf0\x9f\x87\xaaLike and Retweet\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\nFollow all likes\xe2\x9d\xa4\xef\xb8\x8f and ret\xe2\x80\xa6'
,,,,
2/21/2020 7:41,,0,0,"b""39 year old Mathematics and Geography teacher Edward Opiyo is this week's winner of the apartment after Salma Salim\xe2\x80\xa6 https://t.co/SlX3bQRqfh"""
,,,,
2/21/2020 7:41,,0,2,"b'Distributors opportunities available in a NGO based in NAIROBI. No experience required. Send the word ""Distributor""\xe2\x80\xa6 https://t.co/43CIonzXLJ'"
,,,,
2/21/2020 7:41,,0,0,b'The world celebrates the Dead more than the alive #DoMoreWithMPESA #RutoRebelMovement'
,,,,
2/21/2020 7:41,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:40,,22,0,b'RT @TashaKiss3: \xf0\x9f\x87\xb0\xf0\x9f\x87\xaaMORNING GAIN\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\xf0\x9f\x87\xb0\xf0\x9f\x87\xaaARE YOU ACTIVE?? \xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\nBoost your Twitter audience now\n\xf0\x9f\x87\xb0\xf0\x9f\x87\xaaLike and Retweet\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\n\xf0\x9f\x87\xb0\xf0\x9f\x87\xaaDrop and follow whoever lik\xe2\x80\xa6'
,,,,
2/21/2020 7:40,,9,0,"b'RT @SafaricomPLC: Today, we are awarding our 5th winner of a three-bedroom apartment located in Rituta, Dagoretti in the ongoing Lipa Na M-\xe2\x80\xa6'"
,,,,
2/21/2020 7:40,,0,0,b'There\xe2\x80\x99s someone who won\xe2\x80\x99t have to worry about rent from now on! Could it be you? \xf0\x9f\x98\x89 #DoMoreWithMPESA https://t.co/bl1KW7Wnb7'
,,,,
2/21/2020 7:39,,0,0,b'Someone lucky is winning the 5th apartment today \xf0\x9f\x94\xa5 \xf0\x9f\x94\xa5 #DoMoreWithMPESA https://t.co/0c2kmbwWVM'
,,,,
2/21/2020 7:39,,18,0,b'RT @christi90892176: One reason that makes me find this man interesting is that he is all alone fighting a congregation of powerful men. He\xe2\x80\xa6'
,,,,
2/21/2020 7:38,,0,0,b'How to Check Lipa Na Mpesa Charges of any PayBill #DoMoreWithMPESA https://t.co/cXK53Na6QT via @makaobora'
,,,,
2/21/2020 7:38,,18,0,b'RT @christi90892176: One reason that makes me find this man interesting is that he is all alone fighting a congregation of powerful men. He\xe2\x80\xa6'
,,,,
2/21/2020 7:37,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:37,,0,0,b'Hello. Our new company needs 20 Sales people. Interested individuals should send the word *SALES* via WhatsApp ONLY\xe2\x80\xa6 https://t.co/mkh6sku2at'
,,,,
2/21/2020 7:37,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:36,,0,0,"b'Success!!!\nEvelyn Shanyisa, @KenyanNurse wishes you success in your #IELTS Exam tomorrow 22nd February 2020.\nThank\xe2\x80\xa6 https://t.co/FEZ1Qlby2f'"
,,,,
2/21/2020 7:35,,22,0,b'RT @JohnhayesK: Dp Ruto And the prophecy is now on cause #DoMoreWithMPESA \n#RutoRebelMovement Babu Kibaki https://t.co/wdUvMg30Vb'
,,,,
2/21/2020 7:35,,0,0,"b'Success!!!\nEvans Manyonge, @KenyanNurse wishes you success in your #IELTS Exam tomorrow 22nd February 2020.\nThank y\xe2\x80\xa6 https://t.co/ZffHqEdQpJ'"
,,,,
2/21/2020 7:35,,22,0,b'RT @TashaKiss3: \xf0\x9f\x87\xb0\xf0\x9f\x87\xaaMORNING GAIN\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\xf0\x9f\x87\xb0\xf0\x9f\x87\xaaARE YOU ACTIVE?? \xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\nBoost your Twitter audience now\n\xf0\x9f\x87\xb0\xf0\x9f\x87\xaaLike and Retweet\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\n\xf0\x9f\x87\xb0\xf0\x9f\x87\xaaDrop and follow whoever lik\xe2\x80\xa6'
,,,,
2/21/2020 7:35,,2,0,"b'RT @SafaricomPLC: Edward Opiyo Oluoch, a Mathematics and Geography teacher at Nyamonye Girls Secondary School in Bondo becomes the fifth wi\xe2\x80\xa6'"
,,,,
2/21/2020 7:35,,41,0,b'RT @GeorgeOnsase: \xf0\x9f\x87\xb0\xf0\x9f\x87\xaaMORNING GAIN\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\nTurn on my notifications to gain active followers \xf0\x9f\x94\x94\xf0\x9f\x94\x94\xe2\x9c\x94\xef\xb8\x8f\n\n\xf0\x9f\x87\xb0\xf0\x9f\x87\xaaLike and Retweet\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\nFollow all likes\xe2\x9d\xa4\xef\xb8\x8f and ret\xe2\x80\xa6'
,,,,
2/21/2020 7:35,,0,0,"b'Success!!!\nDaniel Muniko, @KenyanNurse wishes you success in your #IELTS Exam tomorrow 22nd February 2020.\nThank yo\xe2\x80\xa6 https://t.co/Lh0dJmjYlx'"
,,,,
2/21/2020 7:34,,18,0,b'RT @christi90892176: One reason that makes me find this man interesting is that he is all alone fighting a congregation of powerful men. He\xe2\x80\xa6'
,,,,
2/21/2020 7:34,,1,0,b'RT @SafaricomPLC: Catch the event live on Facebook https://t.co/tvzOXpSvIy\n#DoMoreWithMPESA'
,,,,
2/21/2020 7:34,,0,0,"b'Success!!!\nChris, @KenyanNurse wishes you success in your #IELTS Exam tomorrow 22nd February 2020.\nThank you for ch\xe2\x80\xa6 https://t.co/XnufNNv7jr'"
,,,,
